Code,Name,Item,Year,Total,Male,Female
24,Quebec,"Perceived mental health, very good or excellent (%)",2012,74.6,76.5,72.8
24,Quebec,"Perceived mental health, very good or excellent (%)",2013,73.8,75.1,72.5
35,Ontario,"Perceived mental health, very good or excellent (%)",2003,72.5,72.9,72.1
35,Ontario,"Perceived mental health, very good or excellent (%)",2005,74.6,75.3,73.9
35,Ontario,"Perceived mental health, very good or excellent (%)",2007,74.6,75.7,73.5
35,Ontario,"Perceived mental health, very good or excellent (%)",2008,74.7,76.8,72.7
35,Ontario,"Perceived mental health, very good or excellent (%)",2009,74,74.4,73.7
35,Ontario,"Perceived mental health, very good or excellent (%)",2010,74.5,76.1,73
35,Ontario,"Perceived mental health, very good or excellent (%)",2011,72.7,73.2,72.2
35,Ontario,"Perceived mental health, very good or excellent (%)",2012,72.2,73.2,71.2
35,Ontario,"Perceived mental health, very good or excellent (%)",2013,70.9,72.5,69.4
46,Manitoba,"Perceived mental health, very good or excellent (%)",2003,74.6,74.1,75
46,Manitoba,"Perceived mental health, very good or excellent (%)",2005,71.9,73,70.8
46,Manitoba,"Perceived mental health, very good or excellent (%)",2007,73.5,73.3,73.7
46,Manitoba,"Perceived mental health, very good or excellent (%)",2008,71.5,73.5,69.5
46,Manitoba,"Perceived mental health, very good or excellent (%)",2009,71.1,70.1,72.1
46,Manitoba,"Perceived mental health, very good or excellent (%)",2010,69.7,68.2,71.1
46,Manitoba,"Perceived mental health, very good or excellent (%)",2011,67.5,68.2,66.9
46,Manitoba,"Perceived mental health, very good or excellent (%)",2012,69.1,68.1,70.1
46,Manitoba,"Perceived mental health, very good or excellent (%)",2013,70.6,71.7,69.6
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2003,73,72.6,73.4
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2005,72.2,71.8,72.5
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2007,72.5,72.5,72.5
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2008,71.5,71.9,71
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2009,71.7,71.3,72.1
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2010,71.3,72.3,70.5
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2011,68.4,68.4,68.3
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2012,67.2,67.7,66.8
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2013,70.5,70.2,70.9
48,Alberta,"Perceived mental health, very good or excellent (%)",2003,73.8,74.7,73
48,Alberta,"Perceived mental health, very good or excellent (%)",2005,74.7,75.2,74.1
48,Alberta,"Perceived mental health, very good or excellent (%)",2007,76.2,76.5,75.9
48,Alberta,"Perceived mental health, very good or excellent (%)",2008,73.7,75.1,72.3
48,Alberta,"Perceived mental health, very good or excellent (%)",2009,73.8,73.2,74.4
48,Alberta,"Perceived mental health, very good or excellent (%)",2010,73.7,73.6,73.8
48,Alberta,"Perceived mental health, very good or excellent (%)",2011,74.4,74.8,73.9
48,Alberta,"Perceived mental health, very good or excellent (%)",2012,71.5,73.3,69.7
48,Alberta,"Perceived mental health, very good or excellent (%)",2013,72.4,71.9,73
59,British Columbia,"Perceived mental health, very good or excellent (%)",2003,70.6,70.1,71
59,British Columbia,"Perceived mental health, very good or excellent (%)",2005,72.5,73.4,71.7
59,British Columbia,"Perceived mental health, very good or excellent (%)",2007,71.9,71,72.7
59,British Columbia,"Perceived mental health, very good or excellent (%)",2008,70.9,69.8,71.9
59,British Columbia,"Perceived mental health, very good or excellent (%)",2009,70.4,72.9,67.9
59,British Columbia,"Perceived mental health, very good or excellent (%)",2010,71.6,71.4,71.8
59,British Columbia,"Perceived mental health, very good or excellent (%)",2011,69.7,72.4,67
59,British Columbia,"Perceived mental health, very good or excellent (%)",2012,67.8,67.5,68.1
59,British Columbia,"Perceived mental health, very good or excellent (%)",2013,67.1,66.5,67.6
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2015,71.6,73.7,69.7
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2015,75,76.1,74.1
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2015,68.9,70.1,67.7
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2015,64.7,66.2,63.4
24,Quebec,"Perceived mental health, very good or excellent (%)",2015,75.3,77.7,73
35,Ontario,"Perceived mental health, very good or excellent (%)",2015,72.3,74,70.7
46,Manitoba,"Perceived mental health, very good or excellent (%)",2015,70.9,74.5,67.5
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2015,69.7,73.3,66.2
48,Alberta,"Perceived mental health, very good or excellent (%)",2015,74.7,75.7,73.6
59,British Columbia,"Perceived mental health, very good or excellent (%)",2015,68.6,71.4,65.9
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2016,70.3,71,69.6
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2016,71.8,70.8,72.7
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2016,66.7,66.8,66.7
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2016,68.1,69.5,66.8
24,Quebec,"Perceived mental health, very good or excellent (%)",2016,73.2,74.9,71.4
35,Ontario,"Perceived mental health, very good or excellent (%)",2016,70,72.6,67.5
46,Manitoba,"Perceived mental health, very good or excellent (%)",2016,68.2,68.8,67.5
47,Saskatchewan,"Perceived mental health, very good or excellent (%)",2016,70.8,74.3,67.3
48,Alberta,"Perceived mental health, very good or excellent (%)",2016,72.7,75.4,70
59,British Columbia,"Perceived mental health, very good or excellent (%)",2016,70,71.1,68.9
